#,编号,卡名,冷却回合,时序,卡牌位置,效果,类型,数值
Card,20101,反跳斩,4,16,0,攻击,近战,4
Card,20102,反跳斩,4,16,0,状态,推远,3
Card,20103,反跳斩,4,16,0,移动,移动,4
Card,20101,光迷彩,-1,16,1,移动,移动,4
Card,20102,光迷彩,-1,16,1,自身,自身,0
Card,20103,光迷彩,-1,16,1,状态,Stealthy,0
Card,20104,光迷彩,-1,16,1,状态,ArmorPenetration,99
Card,20201,小刀投射,5,20,0,攻击,远程4,4
Card,20202,小刀投射,5,20,0,移动,移动,4
Card,20201,匕首投射,-1,20,1,移动,移动,3
Card,20202,匕首投射,-1,20,1,攻击,远程3,6
Card,20301,犯罪,5,90,0,移动,移动,6
Card,20302,犯罪,5,90,0,攻击,近战,4
Card,20301,罪犯,5,90,1,攻击,近战,6
Card,20302,罪犯,5,90,1,移动,移动,4
Card,20401,碎刃,-1,90,0,移动,移动,2
Card,20402,碎刃,-1,90,0,攻击,近战,6
Card,20401,清刀,5,90,1,移动,移动,5
Card,20402,清刀,5,90,1,自身,自身,0
Card,20403,清刀,5,90,1,状态,ArmorPenetration,99
Card,20501,折返,5,30,0,移动,移动,4
Card,20502,折返,5,30,0,攻击,近战,3
Card,20503,折返,5,30,0,移动,移动,5
Card,20501,藏匿,6,30,1,移动,移动,4
Card,20501,藏匿,6,30,1,自身,自身,1
Card,20502,藏匿,6,30,1,状态,Stealthy,99
Card,20601,中毒匕首,3,16,0,移动,移动,2
Card,20602,中毒匕首,3,16,0,攻击,近战,4
Card,20603,中毒匕首,3,16,0,状态,Poisoned,0
Card,20601,逃离现场,4,16,1,攻击,近战,0
Card,20602,逃离现场,4,16,1,状态,Disable,0
Card,20603,逃离现场,4,16,1,状态,Disarmed,99
Card,20604,逃离现场,4,16,1,移动,移动,8
Card,20604,逃离现场,4,16,1,自身,自身,1
Card,20605,逃离现场,4,16,1,状态,Stasis,99
Card,20701,欺天诳地,-1,6,0,移动,移动,6
Card,20702,欺天诳地,-1,6,0,攻击,近战,5
Card,20703,欺天诳地,-1,6,0,状态,Stasis,99
Card,20701,暗度陈仓,-1,6,1,移动,移动,6
Card,20702,暗度陈仓,-1,6,1,攻击,近战,0
Card,20703,暗度陈仓,-1,6,1,状态,Disable,99
Card,20704,暗度陈仓,-1,6,1,自身,自身,1
Card,20705,暗度陈仓,-1,6,1,状态,Stealthy,99
Card,20801,匕刺,4,30,0,移动,移动,3
Card,20802,匕刺,4,30,0,攻击,穿刺,4
Card,20801,疾跑,4,30,1,移动,移动,6
Card,20901,电击刺,6,90,0,移动,移动,3
Card,20902,电击刺,6,90,0,攻击,穿刺,5
Card,20901,煮青蛙,-2,90,1,移动,移动,1
Card,20902,煮青蛙,-2,90,1,攻击,近战,0
Card,20903,煮青蛙,-2,90,1,状态,Corrupted,0
Card,20904,煮青蛙,-2,90,1,状态,Disarmed,0
Card,20905,煮青蛙,-2,90,1,状态,Grounded,99
Card,20906,煮青蛙,-2,90,1,移动,移动,1
Card,21001,偷天换日,-2,6,0,攻击,近战,0
Card,21002,偷天换日,-2,6,0,状态,交换生命值,0
