标志,ID,回合,特殊内容,背景,通关条件
#,1,5,友方斯内克增援,斯内克接应三人,帝国追兵增援（20回合）前消灭所有敌人
#,2,5,友方斯内克增援,斯内克接应三人,帝国追兵增援（20回合）前消灭所有敌人
#,3,5,友方斯内克增援,斯内克接应三人,帝国追兵增援（20回合）前消灭所有敌人
#,4,5,友方斯内克增援,斯内克接应三人,帝国追兵增援（20回合）前消灭所有敌人
#,5,5,友方斯内克增援,斯内克接应三人,帝国追兵增援（20回合）前消灭所有敌人
#,6,20,敌方帝国增援,游戏失败,帝国追兵增援（20回合）前消灭所有敌人
#,7,20,敌方帝国增援,游戏失败,帝国追兵增援（20回合）前消灭所有敌人
#,8,20,敌方帝国增援,游戏失败,帝国追兵增援（20回合）前消灭所有敌人
#,9,20,敌方帝国增援,游戏失败,帝国追兵增援（20回合）前消灭所有敌人
#,10,20,敌方帝国增援,游戏失败,帝国追兵增援（20回合）前消灭所有敌人
#,11,20,敌方帝国增援,游戏失败,帝国追兵增援（20回合）前消灭所有敌人
#,12,20,敌方帝国增援,游戏失败,帝国追兵增援（20回合）前消灭所有敌人
#,13,20,敌方帝国增援,游戏失败,帝国追兵增援（20回合）前消灭所有敌人
#,14,20,敌方帝国增援,游戏失败,帝国追兵增援（20回合）前消灭所有敌人
#,15,20,敌方帝国增援,游戏失败,帝国追兵增援（20回合）前消灭所有敌人
#,16,20,敌方帝国增援,游戏失败,帝国追兵增援（20回合）前消灭所有敌人
#,17,20,敌方帝国增援,游戏失败,帝国追兵增援（20回合）前消灭所有敌人
#,18,20,敌方帝国增援,游戏失败,帝国追兵增援（20回合）前消灭所有敌人
#,19,20,敌方帝国增援,游戏失败,帝国追兵增援（20回合）前消灭所有敌人
#,20,20,敌方帝国增援,游戏失败,帝国追兵增援（20回合）前消灭所有敌人
