标志,ID,回合,特殊内容,背景,通关条件
#,1,3,迪杰斯特拉出现,觉醒者打败黑键边防部队总督迪杰斯特拉,敌方增援（20回合）前消灭所有敌人
#,2,3,迪杰斯特拉出现,觉醒者打败黑键边防部队总督迪杰斯特拉,敌方增援（20回合）前消灭所有敌人
#,3,5,维奥莱特入侵系统导致敌人全体过热,觉醒者打败黑键边防部队总督迪杰斯特拉,敌方增援（20回合）前消灭所有敌人
#,4,5,维奥莱特入侵系统导致敌人全体过热,觉醒者打败黑键边防部队总督迪杰斯特拉,敌方增援（20回合）前消灭所有敌人
#,5,20,敌方帝国增援游戏失败,觉醒者打败黑键边防部队总督迪杰斯特拉,敌方增援（20回合）前消灭所有敌人
#,6,20,敌方帝国增援游戏失败,觉醒者打败黑键边防部队总督迪杰斯特拉,敌方增援（20回合）前消灭所有敌人
#,7,20,敌方帝国增援游戏失败,觉醒者打败黑键边防部队总督迪杰斯特拉,敌方增援（20回合）前消灭所有敌人
#,8,20,敌方帝国增援游戏失败,觉醒者打败黑键边防部队总督迪杰斯特拉,敌方增援（20回合）前消灭所有敌人
#,9,20,敌方帝国增援游戏失败,觉醒者打败黑键边防部队总督迪杰斯特拉,敌方增援（20回合）前消灭所有敌人
#,10,20,敌方帝国增援游戏失败,觉醒者打败黑键边防部队总督迪杰斯特拉,敌方增援（20回合）前消灭所有敌人
#,11,20,敌方帝国增援游戏失败,觉醒者打败黑键边防部队总督迪杰斯特拉,敌方增援（20回合）前消灭所有敌人
#,12,20,敌方帝国增援游戏失败,觉醒者打败黑键边防部队总督迪杰斯特拉,敌方增援（20回合）前消灭所有敌人
#,13,20,敌方帝国增援游戏失败,觉醒者打败黑键边防部队总督迪杰斯特拉,敌方增援（20回合）前消灭所有敌人
#,14,20,敌方帝国增援游戏失败,觉醒者打败黑键边防部队总督迪杰斯特拉,敌方增援（20回合）前消灭所有敌人
#,15,20,敌方帝国增援游戏失败,觉醒者打败黑键边防部队总督迪杰斯特拉,敌方增援（20回合）前消灭所有敌人
#,16,20,敌方帝国增援游戏失败,觉醒者打败黑键边防部队总督迪杰斯特拉,敌方增援（20回合）前消灭所有敌人
#,17,20,敌方帝国增援游戏失败,觉醒者打败黑键边防部队总督迪杰斯特拉,敌方增援（20回合）前消灭所有敌人
#,18,20,敌方帝国增援游戏失败,觉醒者打败黑键边防部队总督迪杰斯特拉,敌方增援（20回合）前消灭所有敌人
#,19,20,敌方帝国增援游戏失败,觉醒者打败黑键边防部队总督迪杰斯特拉,敌方增援（20回合）前消灭所有敌人
#,20,20,敌方帝国增援游戏失败,觉醒者打败黑键边防部队总督迪杰斯特拉,敌方增援（20回合）前消灭所有敌人
