标志,ID,回合,特殊内容,背景,通关条件
#,1,3,妮莫可支援、敌方帝国国防生增援,卡斯和妮莫可与帝国斯坦威军事院校国防生闹矛盾,两人力竭前（20回合内）打败国防生
#,2,3,妮莫可支援、敌方帝国国防生增援,卡斯和妮莫可与帝国斯坦威军事院校国防生闹矛盾,两人力竭前（20回合内）打败国防生
#,3,3,妮莫可支援、敌方帝国国防生增援,卡斯和妮莫可与帝国斯坦威军事院校国防生闹矛盾,两人力竭前（20回合内）打败国防生
#,4,3,妮莫可支援、敌方帝国国防生增援,卡斯和妮莫可与帝国斯坦威军事院校国防生闹矛盾,两人力竭前（20回合内）打败国防生
#,5,20,两人力竭,卡斯和妮莫可与帝国斯坦威军事院校国防生闹矛盾,两人力竭前（20回合内）打败国防生
#,6,20,两人力竭,卡斯和妮莫可与帝国斯坦威军事院校国防生闹矛盾,两人力竭前（20回合内）打败国防生
#,7,20,两人力竭,卡斯和妮莫可与帝国斯坦威军事院校国防生闹矛盾,两人力竭前（20回合内）打败国防生
#,8,20,两人力竭,卡斯和妮莫可与帝国斯坦威军事院校国防生闹矛盾,两人力竭前（20回合内）打败国防生
#,9,20,两人力竭,卡斯和妮莫可与帝国斯坦威军事院校国防生闹矛盾,两人力竭前（20回合内）打败国防生
#,10,20,两人力竭,卡斯和妮莫可与帝国斯坦威军事院校国防生闹矛盾,两人力竭前（20回合内）打败国防生
#,11,20,两人力竭,卡斯和妮莫可与帝国斯坦威军事院校国防生闹矛盾,两人力竭前（20回合内）打败国防生
#,12,20,两人力竭,卡斯和妮莫可与帝国斯坦威军事院校国防生闹矛盾,两人力竭前（20回合内）打败国防生
#,13,20,两人力竭,卡斯和妮莫可与帝国斯坦威军事院校国防生闹矛盾,两人力竭前（20回合内）打败国防生
#,14,20,两人力竭,卡斯和妮莫可与帝国斯坦威军事院校国防生闹矛盾,两人力竭前（20回合内）打败国防生
#,15,20,两人力竭,卡斯和妮莫可与帝国斯坦威军事院校国防生闹矛盾,两人力竭前（20回合内）打败国防生
#,16,20,两人力竭,卡斯和妮莫可与帝国斯坦威军事院校国防生闹矛盾,两人力竭前（20回合内）打败国防生
#,17,20,两人力竭,卡斯和妮莫可与帝国斯坦威军事院校国防生闹矛盾,两人力竭前（20回合内）打败国防生
#,18,20,两人力竭,卡斯和妮莫可与帝国斯坦威军事院校国防生闹矛盾,两人力竭前（20回合内）打败国防生
#,19,20,两人力竭,卡斯和妮莫可与帝国斯坦威军事院校国防生闹矛盾,两人力竭前（20回合内）打败国防生
#,20,20,两人力竭,卡斯和妮莫可与帝国斯坦威军事院校国防生闹矛盾,两人力竭前（20回合内）打败国防生
